abad,1.069190069
abancay,2.651306672
abandonado,0.060606061
abandono,0.477285141
abanico,0.166666667
abanquino,0.024390244
abaratamiento,0.047619048
abarcar,0.108280812
abarco,0.022222222
abarrotado,0.019607843
abastecer,0.038461538
abastecimiento,1.190261676
abasteimiento,0.03030303
abasto,0.444611197
abel,0.066666667
abelardir,0.174125739
abierto,0.848081225
abogacir,0.0625
abogacía,0.758333333
abogado,1.007028511
abogar,0.05
abominabl,0.083333333
abonado,0.045454545
abonar,0.055555556
aborigen,0.041666667
aborto,0.047619048
abreviado,0.142857143
abril,1.102905267
abrir,0.094235033
absoluto,0.106334842
absolutorio,0.07030303
absorción,0.02173913
absortion,0.02173913
absuelto,0.0625
abusar,0.019607843
abusivo,0.362822061
abuso,0.706896946
acabar,0.037037037
academia,0.93460039
academico,0.027777778
académico,0.796633059
acaecido,0.020408163
acaparamento,0.058823529
acaparamientir,0.024390244
acaparamiento,1.236907774
acari,0.052631579
acarrear,0.045454545
acarí,0.088815789
accceso,0.04
accedar,0.064064064
acceder,2.008259189
accederar,0.045454545
accesibilidad,0.292208887
accesibl,0.055555556
accesible,0.183440999
accesitario,0.23989899
acceso,15.51562316
accesorio,0.296918768
accidentalidad,0.027777778
accidente,1.486752639
accionar,0.32541384
accionariado,0.037735849
accionario,0.051282051
accionista,0.186486787
acción,6.582209984
accón,0.027027027
acecho,0.076923077
aceite,0.029411765
aceituna,0.31512605
acelera,0.083333333
acelerado,0.1
acelerar,0.074462217
aceptación,0.055555556
aceptar,0.139423077
acerca,0.285714286
acercamiento,0.054693274
acho,0.045454545
acional,0.053167421
acividad,0.103221289
acivo,0.05
ación,0.025
aclaración,0.032258065
aclarar,0.332245577
acnur,0.055555556
aco,0.142857143
acobamba,0.805555556
acoger,0.809273336
acogida,0.131291881
acogimiento,0.634615048
acojar,0.020408163
acolla,0.121212121
acometido,0.033333333
acompañant,0.057142857
acontecer,0.04
acontecimiento,0.156435006
aconómico,0.027777778
acora,0.907509158
acorde,0.309650579
acordir,0.041666667
acoro,0.076923077
acoso,2.544799952
acotado,0.05
acr,0.0625
acre,0.074074074
acreditación,0.472305239
acreditar,0.420761355
acreedor,0.205909015
acreedora,0.025641026
acreencia,0.037037037
acta,0.14355307
actiidad,0.033333333
actitud,0.117027027
activamente,0.08754441
activar,0.043478261
activiad,0.066666667
actividad,17.71326843
actividaded,0.038461538
activo,3.268644573
acto,4.17241033
actor,0.421340618
actuación,0.411404918
actual,0.794420941
actualidad,0.04740958
actualización,0.549381403
actualizada,0.04
actualizado,2.795734243
actualizar,0.578901998
actualizo,0.463232601
actualmenetir,0.027777778
actualmente,0.351281269
actuar,0.072944297
actúar,0.134227688
acuartelado,0.222091887
acudir,0.222493571
acuerdo,7.212033047
acuicolar,0.034482759
acuicolo,0.202380952
acuicultor,0.1
acuicultura,1.484845696
acuiculturar,0.028571429
acuifera,0.041666667
acuifero,0.058823529
acumulación,0.43047408
acumulado,0.487294689
acumular,0.159180104
acumunlado,0.033333333
acusación,0.048780488
acusar,0.035714286
acutu,0.153846154
acuático,0.224264894
acuícola,0.31038961
acuícolo,0.071428571
acápite,0.235144928
ací,0.034482759
adaptación,0.350613794
ade,0.020408163
adecuación,0.929986253
adecuadamente,0.173950531
adecuadar,0.125
adecuado,4.30152309
adecuar,1.211736319
adecuándolar,0.028571429
adecuándolo,0.022222222
adecúar,0.22822876
adelantar,0.122004357
adelante,0.509559185
adelanto,0.238772339
adelar,0.037037037
adema,0.027027027
además,0.646255643
adenda,0.300591398
adendo,0.032258065
adeudado,0.123979592
adeudir,0.03030303
adeudo,0.243131868
adherir,0.037037037
adhesión,0.147811956
adicción,0.083333333
adiciconar,0.04
adicionado,0.029411765
adicional,1.488842012
adicionalmente,0.108699167
adicionar,1.676898056
adición,0.125641026
adiestramiento,0.060714286
adiestran,0.033333333
adiestrar,0.033333333
adjudicación,0.664427116
adjudicado,0.306891162
adjudicar,0.283862434
adjundicado,0.027777778
adjuntar,0.04
adm,0.071428571
adminisión,0.038461538
administación,0.08496732
administativo,0.06036036
administracion,0.016393443
administraciòn,0.058823529
administración,10.58920464
administrada,0.043478261
administrado,1.14844301
administradora,0.120890937
administradoro,0.323004202
administrar,0.691929441
administrativo,7.965969371
adminsitración,0.045454545
adminstación,0.028571429
admisibilidad,0.05
admisión,0.371033927
adn,0.057142857
adolecent,0.090909091
adolecente,0.043478261
adolencia,0.027027027
adolescencia,0.291851561
adolescenete,0.027777778
adolescente,6.154809041
adopción,0.952792079
adoptado,0.712666174
adoptar,0.633880429
adquierar,0.020408163
adquiero,0.020408163
adquirido,0.543746994
adquirir,0.748626762
adquis,0.368077707
adquisición,4.389305094
adquisitivo,0.107723577
adqusición,0.0625
adscrita,0.055555556
adscritar,0.025641026
adscrito,0.81621116
aduana,2.746098697
aduanera,0.076923077
aduanero,0.258292282
aducción,0.083333333
adulta,0.415926753
adultar,0.071794872
adulteración,0.168039591
adulterado,0.05
adulto,2.380853242
aduán,0.043478261
adverso,0.222863897
advertir,0.016393443
adyacente,0.160353535
aeeropuerto,0.025
aeo,0.027777778
aereo,0.033333333
aerolínea,0.032258065
aeronave,0.057259074
aeronáutica,0.024390244
aeronáutico,0.234090216
aeroportuario,0.435632184
aeropuerto,5.53650104
aeródromo,0.603374794
afectación,0.587918617
afectado,4.6652628
afectanar,0.028571429
afectar,3.579360416
afecto,0.098455598
afectodo,0.023809524
afectuado,0.02
