abad,5
abancay,12
abandono,2
abanico,4
abaratamiento,1
abastecimiento,9
abasto,2
abierto,3
abogado,7
abonado,1
aborto,1
abreviado,2
abril,5
abrir,2
academia,2
académico,8
acaecido,1
accedar,1
acceder,19
accesibilidad,1
accesible,1
acceso,57
accidente,2
accionar,1
accionista,2
acción,32
aceite,1
aceituna,1
acelerar,3
acercamiento,1
acional,2
aco,2
acobamba,2
acoger,6
acogimiento,3
acometido,1
acontecimiento,2
acora,2
acoso,7
acreditación,5
activamente,1
actividad,63
activo,10
acto,12
actual,4
actualización,1
actualizada,1
actualizado,1
actualizar,2
actualmente,5
actúar,2
acuerdo,14
acuicolo,2
acuicultura,6
acuifera,1
acumulación,1
acumulado,4
acumular,1
acuático,1
acuícola,2
adecuación,5
adecuadamente,1
adecuado,18
adecuar,7
adecúar,3
adelante,3
además,4
adicional,5
adicionalmente,1
adiestramiento,1
adjudicar,2
administración,37
administrado,5
administradoro,1
administrar,4
administrativo,16
adminsitración,1
adolecent,1
adolecente,1
adolescente,7
adoptar,6
adquiero,1
adquirir,12
adquisición,33
adquisitivo,2
adqusición,1
adscrito,2
aduana,2
adulta,1
adulto,6
adyacente,4
aereo,1
aeronave,2
aeronáutico,3
aeropuerto,14
aeródromo,2
afectación,1
afectado,8
afectanar,1
afectar,8
afecto,1
afectodo,1
afianzamiento,2
afianzar,1
afiliación,9
afiliadao,1
afiliado,32
afirmativo,1
afluent,7
afp,11
afps,2
afrontar,5
afroperuano,4
afín,7
agencia,2
agenda,2
agilizar,2
agosto,6
agraria,2
agrario,16
agravado,4
agravante,2
agraviado,1
agravio,2
agregar,4
agricultor,6
agricultura,21
agro,3
agrobanco,5
agroindustrial,2
agromercado,1
agropecuario,8
agroperú,5
agrícola,15
agu,1
agua,53
aguachini,2
aguilar,2
ahorro,5
aijo,4
aire,3
aislado,1
aislamiento,3
al,1
alarcón,4
alarmante,1
alberto,3
alcalde,1
alcance,19
alcantarillado,14
alcanz,1
alcanzar,7
alcid,4
aldazabal,7
aledaña,1
aledaño,1
alejado,4
aleluir,2
alfonso,4
alférez,2
alguno,4
aliagaaliagar,1
alianza,1
alimentación,8
alimentaria,1
alimentario,15
alimentista,1
alimento,11
aliviar,11
alivio,1
allanar,1
almacenaje,1
almacenamiento,4
almacenar,9
alomía,3
alpaca,2
alteracion,1
alteración,1
alternar,2
alternativa,6
alternativo,11
altiplano,1
alto,59
altoandina,2
alumno,3
aluvial,2
amarillo,2
amaru,13
amarú,1
amazona,28
amazonense,1
amazonia,5
amazonía,5
amazónico,3
ambiental,36
ambiente,8
ambito,1
ambo,2
ambos,6
ambulatorio,1
amnistía,1
amnistío,3
amotape,4
amparaes,4
ampliacion,2
ampliación,36
ampliar,16
amplio,1
amplíar,13
amype,2
américa,1
américar,1
américo,1
ana,3
analítico,1
anangari,2
ancash,4
ancatira,2
ancestral,3
ancho,1
andahuayla,6
andazabal,1
andina,2
andino,6
anemia,4
anexo,2
angash,2
angel,3
angustiar,1
animal,3
ansiedad,1
anta,4
antacolpar,1
antacolpir,2
antención,1
antepuerto,2
anterior,4
antiago,1
anticipado,24
anticipo,1
anticorrupción,3
anticuerpo,1
antigüedad,1
antisocial,2
antonio,22
antrópica,1
antúnez,1
antúñez,1
anual,5
anular,1
anónimo,2
apachacco,2
aparicio,4
apci,2
apelación,1
apellido,2
apertura,4
aplicable,10
aplicación,23
aplicar,9
apologío,1
apomar,2
aportación,6
aportant,4
aporte,18
apostol,1
apoyar,4
apoyo,10
aprendizaje,3
aprobación,9
aprobada,2
aprobado,16
aprobar,41
apruer,2
aprurímac,1
aptitud,1
apuesta,4
apumarca,1
apurimac,4
apurímac,31
apóstol,5
aquel,4
aquisición,1
arakaki,1
arancelario,2
aranhuay,2
aras,6
araujo,2
arbitraje,2
arbitral,1
arbitrio,2
archivado,1
archivo,1
arekaki,1
arequeológico,1
arequipa,17
arequipar,2
argueda,4
arizona,2
arma,11
armado,22
armonioso,1
armónico,1
arnold,4
arqueologico,1
arqueológicar,1
arqueológico,21
arquipar,1
arrendamiento,3
arrendatario,1
arrentatario,1
arroz,4
art,2
artefacto,2
artesanal,14
artesania,1
artesán,1
articu,2
articulación,3
articulado,3
articulo,7
artista,6
artístico,2
artítulo,1
aríiculo,1
asamblea,6
ascendente,3
ascenso,5
ascope,2
asegurado,8
aseguradora,1
aseguramiento,5
asegurar,20
asentamiento,4
asestar,1
asfaltado,20
asfaltar,2
asfáltico,1
asfático,1
ashaninkir,2
asi,1
asignación,2
asignado,1
asignar,1
asignatura,4
asimilaado,1
asimilado,2
asimismo,6
asiruni,2
asistencia,11
asistencial,30
asociación,4
asociado,3
asociativas,2
asociatividad,2
asociativo,3
astetar,1
astete,1
asumido,2
asumir,2
asunción,6
asís,1
atahualpar,2
atalair,5
atalaya,2
atención,48
atender,8
atentir,2
atenuar,1
atilio,2
atraído,1
atribución,11
audio,1
audiovisual,5
auditoría,2
aula,1
aumentar,2
aumento,2
auqui,2
austeridad,2
australia,1
australio,1
autenticidad,1
autoir,1
automotor,2
automático,1
autonomia,2
autonomía,12
autoorganizado,1
autor,7
autoridad,18
autorización,10
autorizado,4
autorizar,72
autorísar,1
autógrafa,3
autónomo,6
auxiliar,11
auxilio,2
avance,2
avenida,14
avenidad,2
aviación,1
ayacuch,2
ayacucho,55
ayancocha,2
ayaviri,2
aymara,2
ayuda,1
azangaro,1
azar,2
azucarera,1
azucarero,1
azángaro,7
azúcar,1
aéreo,6
bachilleerato,1
bachillerato,1
bahía,2
bajar,2
bajo,21
balance,2
balsapuerto,4
baltazar,2
balzapata,4
balón,3
banca,15
bancario,4
banco,6
banda,1
bandera,3
bandero,2
barranca,3
barrionuevo,2
barro,2
basado,1
basar,1
base,12
basilio,2
bastida,3
bastión,2
batalla,17
batar,2
bautista,1
bayóvar,2
baño,10
bebida,1
beca,9
becar,2
belaundir,2
belaúnde,2
bellavista,7
bellevista,1
bello,2
belén,3
benefeicio,1
beneficencia,2
beneficiado,1
beneficiar,2
beneficiario,5
beneficio,40
benemérito,2
benit,2
bermúdez,8
bicameral,1
bicentenario,21
bien,28
bienestar,3
biológico,10
biotecnología,2
blanco,4
boca,5
bocana,1
bocapán,2
bocán,1
bolivia,2
bombero,20
bombón,2
bongacer,2
bongaro,2
bonificación,5
bono,13
bordo,2
bosque,3
brasil,2
brecha,4
brindar,8
brindarl,1
brote,4
buen,9
bursátil,2
bus,2
buscar,3
básico,34
bélico,1
búsqueda,2
caat,2
cabal,1
cabanilla,3
cabanillo,1
cabecera,2
cabeceras,1
cabeza,1
cabezas,1
cable,3
cableado,2
cabo,2
cachicoto,2
cacica,2
cada,26
cadena,12
caem,2
cafae,2
cafetalero,2
cafeto,1
cahupana,1
caisa,1
cajabamba,2
cajamarca,41
cajamrca,1
calca,3
calidad,32
calificación,1
calificado,8
callao,13
callapa,1
callapayoc,2
callapayocc,2
callarú,2
callejón,8
callir,3
callo,2
calzado,2
cama,3
cambiar,3
cambio,16
camino,4
camisea,1
campaña,3
campesino,28
campo,4
cana,5
canado,1
canadá,2
canal,4
cancelación,1
cancelar,1
cancelatorio,2
canchapalca,2
canchis,3
candidato,7
candidatura,2
cangallo,5
canillita,2
canon,44
canta,3
cantagallo,2
cantar,9
cantidad,2
canto,2
capa,2
capacidad,17
capacitación,2
capil,2
capilla,2
capital,20
capitalización,5
capitán,4
captación,3
captura,1
capítulo,3
carabaya,2
carabayllo,1
caracter,1
caral,2
carbono,3
carga,4
cargo,35
carlo,7
carlos,1
carnaval,6
carnavalesco,1
carrera,18
carretera,49
carreterar,2
carrión,10
carrozable,4
carrretero,1
carrtera,1
carta,11
cartahuyo,2
cartera,2
carácter,5
casa,11
caserío,4
casita,2
casma,2
caso,13
castilla,3
castillo,4
castrovirreyna,3
catalogación,1
catedral,2
categoria,1
categorio,1
categoría,10
cauce,2
cauri,6
causa,22
causado,1
causahabient,1
causal,9
causar,1
cautelar,1
caylloma,1
cañete,5
cañón,2
ccoc,2
celebración,1
celebrar,1
cemae,2
cenepa,2
centenario,2
central,8
centro,51
cepa,1
ceramista,1
cercado,6
cerco,1
ceremonia,1
cero,2
cerrado,1
cerro,7
certificado,3
cesación,2
cese,8
cesión,1
cfp,2
chaca,4
chacamarca,2
chacar,2
chachapoya,5
chachapoyas,3
chaglla,4
chahuar,2
challapa,1
chambirar,2
champaccocha,2
chanquil,4
chanta,2
chao,2
chatarreo,4
chau,2
chicama,2
chichuraquín,2
chiclayo,6
chico,2
chile,2
chillón,4
chimbote,8
chincha,1
chinchavito,2
chinchaycocho,10
chincheero,1
chinchero,7
chinchiuani,1
chincho,1
chineca,2
chino,1
chira,2
chivis,2
chocorvo,2
chonatalí,2
choropampa,2
chua,14
chucuito,11
chumb,4
chumbivilca,2
chunchuquillo,2
chuo,4
chupan,2
cic,5
cien,2
ciencia,16
cientifico,4
ciento,6
científico,21
cierre,6
cierto,3
cigarrillo,2
cincenta,1
cinco,5
cincuenta,4
cinemateca,2
circo,2
circuito,5
circunstancia,2
cirugía,2
cirujano,2
ciudad,46
ciudadana,2
ciudadania,1
ciudadanir,1
ciudadano,24
ciudadanía,3
ciudando,1
civil,36
civismo,2
claro,1
clasificación,1
clasificado,2
cliente,4
cliet,1
clima,1
climático,3
clínico,12
cnpb,1
coadyuvar,6
coadyuvir,1
coadyuvó,1
coar,4
coata,2
cobertura,8
coberturar,1
cobro,4
coca,1
cocha,2
cochalan,2
cochapato,2
cocina,2
cocnstrucción,1
codigo,1
codo,1
cofidir,1
cohecho,3
cohesión,1
coincidencia,1
cojata,2
cola,2
colca,3
colcabamba,2
colcapampo,2
colectivero,1
colectivo,9
colegio,14
colli,2
colonial,2
com,2
comandancias,1
comas,4
combate,1
combatir,6
combustible,2
comercial,5
comercializar,5
comerciante,2
comercio,8
cometar,4
cometer,6
cometido,3
comisiones,2
comisión,31
comité,5
comités,3
como,1
compartido,2
compañía,1
compensación,9
competencia,18
competente,5
competitividad,17
competitivo,3
complejo,9
complementar,6
complementaria,1
complementario,52
complemetario,1
componente,1
composición,4
compra,14
comprar,2
comprender,8
comprendido,22
compromiso,3
comtenplir,1
comunal,1
comunicación,9
comunidad,35
comunitario,3
común,3
con,2
conadis,2
conceder,11
concejo,3
concentración,1
concentrador,2
concepción,4
concepto,7
concerniente,1
concesión,4
conceso,1
concha,4
conchucio,1
conchuco,1
conciliación,1
conciliador,1
conciliar,1
conciliatorio,1
concluido,1
concluir,1
concon,2
concordancia,10
concreto,1
concurrente,3
concursabl,1
concursable,1
concursal,4
concurso,5
condecoración,3
condemayta,2
condena,1
condenar,4
condenatorio,2
condicional,1
condición,27
condorcanqui,4
condorcuyo,2
conducir,4
conducta,2
conectividad,8
conexas,2
conexión,5
conferencia,2
confiable,1
confianza,6
conflicto,3
conformación,4
conformado,1
conformar,4
conforme,7
conformidad,5
confusión,2
congelamiento,7
congresal,1
congresista,11
congreso,74
conima,2
conimo,6
conjunto,4
conmemoración,4
conmemorar,4
conmemorativo,5
conocer,3
conocido,1
conocimiento,2
conplejo,1
consagrar,2
consecución,1
consecuencia,25
consecuencias,1
consejero,8
consejo,36
consentir,1
conservación,43
conservar,1
conservatorio,2
consevación,1
consideración,4
considerar,3
considerarlo,1
consignir,1
consolidado,2
consolidar,5
consorcio,2
constante,2
constitucional,43
constitución,61
constituir,3
constituyente,6
construcción,141
consuelo,2
consulta,4
consumidor,9
consumo,22
contabilidad,1
contado,1
contagiada,1
contagio,2
contaminación,13
contaminado,2
contar,10
contecioso,2
contemplado,3
contemplar,2
contencioso,2
contención,1
contener,1
contenido,8
contexto,8
contingencia,2
continuación,4
continuar,1
continuidad,24
continuo,4
contractual,2
contradicción,1
contraer,1
contralor,2
contraloría,5
contrarrestar,5
contratación,10
contratado,4
contratar,4
contrato,8
contribución,3
contribuir,26
contribuyente,1
control,34
controlar,2
controversia,2
contrucción,1
convencional,1
convención,11
convenio,9
convertir,4
convivencia,2
convocatoria,8
cooperación,5
cooperativa,2
cooperativismo,2
cooperativo,4
coordinación,3
copaser,1
corazao,2
corazón,2
cordillera,8
cornejo,2
coronal,1
coronavirus,25
coronel,10
corporativo,2
correcto,4
corredor,3
corresponda,1
corresponder,4
corrupción,7
corte,4
corto,2
corío,4
coscomba,2
cosecha,10
cosme,2
costa,1
costo,10
costumbre,1
cosumo,1
cota,2
cotabamba,6
cotacucho,2
cov,29
covención,1
covid,152
covidir,7
creacion,2
creacióin,1
creación,340
creadas,2
creado,10
creador,1
crear,43
creciente,1
crecimiento,8
crediticio,2
creer,69
crimen,1
criminal,5
criollo,1
crisis,10
cristo,1
cristobal,1
cristóbal,1
criterio,11
cronograma,2
cruce,4
cruz,10
crédito,11
crítico,1
cts,4
cualquiera,6
cuanto,2
cuarentena,2
cuarto,7
cuatro,7
cubilla,2
cuello,2
cuenca,33
cuenta,23
cuerpo,11
cuestión,4
cui,1
cuidad,2
cuidado,6
culluchaca,2
culminación,13
cultivo,10
cultura,11
cultural,48
cumbre,2
cumplido,2
cumplimiento,22
cumplir,9
cuna,1
cuno,1
cuota,3
curahuasi,2
curricula,1
curriculo,1
currícula,4
currículo,5
curso,10
cuscir,1
cusco,48
cuy,2
cuyo,14
cáncer,9
cápac,3
cédula,1
célerar,1
césar,6
círculo,1
cívica,2
cívico,2
código,60
cómplice,2
córdova,2
daniel,7
danza,2
dar,6
datem,2
dato,7
david,3
davis,1
daño,6
de,17
debate,4
deber,11
debidamente,5
debido,2
decano,2
decente,1
decidido,2
decidir,1
declamatoria,1
declar,1
declaración,15
declarado,9
declarartoria,1
declarativo,1
declaratoria,28
declinación,1
declrar,1
declárese,1
declárir,1
decrarar,1
decretado,3
decreto,1
dedicación,3
dedicado,4
deeclar,1
defecto,1
